"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"00:00:27",7,10,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"00:15:43",8,7,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"00:30:14",6,9,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"00:45:17",3,5,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"01:00:53",4,4,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"01:30:52",2,4,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"01:45:16",1,2,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"02:00:44",1,0,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"02:15:11",3,4,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"02:30:09",2,3,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"02:45:06",1,4,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"03:00:38",0,2,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"03:15:03",2,2,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"03:30:14",0,5,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"03:45:14",1,3,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"04:00:53",1,5,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"04:15:06",4,5,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"04:30:04",3,5,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"04:45:45",4,9,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"05:00:20",3,11,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"05:15:04",8,17,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"05:30:09",11,28,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"05:45:15",6,49,12
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-21,"06:00:09",9,47,12
